#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.kgID	hg19.kgXref.mRNA
uc002qmy.3	B4DQZ9	uc002qmy.3	BC011796
uc002qmz.1	Q96NG8	uc002qmz.1	NM_144690
uc010ead.3		uc010ead.3	AK307563
uc010eea.3	O15552	uc010eea.3	NM_005306
uc010eej.3	Q9H665	uc010eej.3	AK311551
uc010eii.3		uc010eii.3	M76744
uc010eij.3	P13688-10	uc010eij.3	NM_001205344
uc010eik.3	P13688-7	uc010eik.3	M76742
uc010dus.3	Q8N5S1	uc010dus.3	NM_173637
uc010dut.4		uc010dut.4	AK097761
uc010eml.3	Q9H4M7-2	uc010eml.3	NM_001161354
uc010eon.3	Q86VI7	uc010eon.3	AB108824
uc010eoo.3	Q86VI8	uc010eoo.3	AB108823
uc010dxy.3	Q96GM1-2	uc010dxy.3	CR936652
uc010gai.3	O00241	uc010gai.3	NM_006065
uc002wfk.4	O00241-2	uc002wfk.4	NM_001083910
uc002wfl.4	Q5TFQ8	uc002wfl.4	NM_001135844
uc002wjb.1	H7C0M6	uc002wjb.1	AK024479
uc002wjc.3		uc002wjc.3	AY927519
uc002wja.3	Q9BZZ2	uc002wja.3	NM_023068
uc002wiz.4	Q9BZZ2-3	uc002wiz.4	BC141884
uc010gft.2		uc010gft.2	AK311150
uc002xgh.2	Q9Y3Z3	uc002xgh.2	NM_015474
uc002xhq.3		uc002xhq.3	AK126508
uc002xhr.3	P21980	uc002xhr.3	NM_004613
uc010zvx.2	B4DIT7	uc010zvx.2	AK295775
uc010zvy.2	F5H6P0	uc010zvy.2	AK300292
uc002xhs.1	P21980	uc002xhs.1	AK058031
uc002xht.3	P21980-2	uc002xht.3	NM_198951
uc002xhu.3	P21980-3	uc002xhu.3	S81734
uc002xic.2	P18428	uc002xic.2	NM_004139
uc002xut.3	Q16647	uc002xut.3	NM_000961
uc010zyi.2	Q16647	uc010zyi.2	BC143381
uc010zza.1	B4DFL4	uc010zza.1	AK294150
uc010zzb.1	O75363-2	uc010zzb.1	AK295318
uc010gim.2	O75363-2	uc010gim.2	AK316038
uc002xws.2	O75363	uc002xws.2	NM_003657
uc002xwt.2	O75363	uc002xwt.2	AK225656
uc010gil.1	G3XAF7	uc010gil.1	BC024044
uc010zzc.2	B4E2C4	uc010zzc.2	AK304213
uc002xyo.3	Q9H171	uc002xyo.3	NM_030776
uc010gjm.3	NP_001153889	uc010gjm.3	NM_001160417
uc002xyp.3	A2A2F7	uc002xyp.3	NM_001160418
uc010zzn.2	F5GYT1	uc010zzn.2	NM_001160419
uc002yfi.1	Q9H3Y6	uc002yfi.1	NM_080823
uc002yfl.1	Q9BYK8-2	uc002yfl.1	NM_033405
uc002yfm.2	Q9BYK8	uc002yfm.2	NM_001037335
uc002yfn.2	Q4VXQ0	uc002yfn.2	AK023724
uc002yze.1		uc002yze.1	AK126107
uc002yzf.1	P20592	uc002yzf.1	NM_002463
uc011aer.1		uc011aer.1	AK298780
uc002yzg.1	P20592	uc002yzg.1	AK122952
uc010gop.1	A8MXI7	uc010gop.1	AY312582
uc002yzh.3	P20591	uc002yzh.3	NM_001144925
uc002yzi.3	P20591	uc002yzi.3	NM_002462
uc010goq.3	P20591	uc010goq.3	NM_001178046
uc002zgd.2	P05107	uc002zgd.2	BC005861
uc002zgf.3	P05107	uc002zgf.3	NM_000211
uc011afl.1	P05107	uc011afl.1	AK303488
uc010gpw.2	A8MYE6	uc010gpw.2	L78790
uc002zgg.2	P05107	uc002zgg.2	NM_001127491
uc002zny.3	Q9UMW8	uc002zny.3	NM_017414
uc003acb.3	Q9BYH1	uc003acb.3	NM_021115
uc011akc.2	G8JLP3	uc011akc.2	NM_001184774
uc003acc.3	B0QYG3	uc003acc.3	NM_001184773
uc003acd.3	Q9BYH1-4	uc003acd.3	NM_001184776
uc011akd.2	B7ZLJ8	uc011akd.2	NM_001184775
uc003ace.3	Q9BYH1-5	uc003ace.3	NM_001184777
uc003acf.1	Q9BYH1-3	uc003acf.1	AL050253
uc010gvc.1	Q9BYH1-2	uc010gvc.1	AL035545
uc011ake.2		uc011ake.2	AK294790
uc003aia.3	NP_001244311	uc003aia.3	NM_001257382
uc003aib.3	NP_001244311	uc003aib.3	NM_001257379
uc003ahy.3	Q9UDX4	uc003ahy.3	NM_174975
uc003aod.3		uc003aod.3	BC038950
uc003aoe.3	Q9BWW8	uc003aoe.3	NM_030641
uc003aoq.3	O95236-2	uc003aoq.3	NR_027834
uc003aor.3	O95236-2	uc003aor.3	NR_027833
uc003aos.3	O95236-2	uc003aos.3	NR_027835
uc003aot.3	O95236	uc003aot.3	NM_145640
uc003aou.3	NP_663617	uc003aou.3	NM_145641
uc003aov.3	NP_663617	uc003aov.3	NM_145642
uc021wol.1	NP_663617	uc021wol.1	CCDS13924
uc011amn.1	O14791	uc011amn.1	AK296099
uc021wom.1		uc021wom.1	AF305428
uc003ape.3	O14791-2	uc003ape.3	NM_145343
uc011amo.2	O14791	uc011amo.2	AK298053
uc003apf.3	O14791	uc003apf.3	NM_003661
uc011amp.2	O14791	uc011amp.2	NM_001136540
uc011amq.2	E9PF24	uc011amq.2	NM_001136541
uc010gwx.3	O14791	uc010gwx.3	AK309143
uc010gzo.4	B4DDW5	uc010gzo.4	AK293360
uc011aqe.3	Q9HBI0	uc011aqe.3	NM_001137605
uc031rya.1		uc031rya.1	AK307294
uc003bep.4	Q9HBI0	uc003bep.4	NM_022141
uc010gzq.1		uc010gzq.1	AK311264
uc021wrb.2	E7EVM6	uc021wrb.2	AK307299
uc021wrc.1		uc021wrc.1	AL355092
uc003bgc.3	Q8NDV3-3	uc003bgc.3	NM_148674
uc003bgd.3	Q8NDV3-2	uc003bgd.3	BC126208
uc003bge.1	Q8NDV3-2	uc003bge.1	AJ504806
uc003bje.1	Q6ZVW7	uc003bje.1	NM_001001694
uc003bmi.3	Q96G42	uc003bmi.3	NM_138433
uc011ekn.1	Q6P9F5	uc011ekn.1	BC060785
uc011eko.1	Q6P9F5-2	uc011eko.1	NM_138700
uc011ekp.2	Q9UDY6-2	uc011ekp.2	NM_052828
uc011ekq.2	Q9UDY6	uc011ekq.2	NM_006778
uc011epb.2	Q99946	uc011epb.2	AK123424
uc011epc.2	Q99946	uc011epc.2	NM_030651
uc011epd.2		uc011epd.2	BC013201
uc011erp.1	E7ENX8	uc011erp.1	AK299603
uc011err.1	Q9UP03	uc011err.1	NM_018833
uc011ers.2	NP_000535	uc011ers.2	NM_000544
uc011ert.1	NP_000535	uc011ert.1	AK222823
uc011erx.2	Q03518	uc011erx.2	AK302340
uc011ery.2	Q03518	uc011ery.2	NM_000593
uc011erz.2	B4DZW2	uc011erz.2	AK303118
uc011esa.2	P28065	uc011esa.2	NM_002800
uc011exd.1	Q6P9F5	uc011exd.1	BC060785
uc011exf.1	Q6P9F5-2	uc011exf.1	NM_138700
uc011exg.2	Q9UDY6-2	uc011exg.2	NM_052828
uc011exh.2	Q9UDY6	uc011exh.2	NM_006778
uc011fey.2	P55008-3	uc011fey.2	NM_004847
uc031ssb.1	NP_116573	uc031ssb.1	JQ782415
uc011fez.2	P55008	uc011fez.2	NM_001623
uc011ffa.2	NP_116573	uc011ffa.2	NM_032955
uc011fjd.2	B4E1Z4	uc011fjd.2	AK304045
uc011fjf.1	B4E1Z1	uc011fjf.1	AK304042
uc011fjg.1	P00751-2	uc011fjg.1	AF349679
uc011fjh.2	P00751	uc011fjh.2	NM_001710
uc011fku.2	Q99946	uc011fku.2	AK123424
uc011fkv.2	Q99946	uc011fkv.2	NM_030651
uc011fkw.2		uc011fkw.2	BC013201
uc011foa.1	E7ENX8	uc011foa.1	AK299603
uc011foc.1	Q9UP03	uc011foc.1	NM_018833
uc011fod.2	Q03519	uc011fod.2	AK222823
uc011foe.2	NP_000535	uc011foe.2	NM_000544
uc011foi.2	Q03518	uc011foi.2	AK302340
uc011foj.2	Q03518	uc011foj.2	NM_000593
uc011fok.2	B4DZW2	uc011fok.2	AK303118
uc011fol.2	P28065	uc011fol.2	NM_002800
uc011fvq.1	A9R9Q5	uc011fvq.1	BC060785
uc011fvs.1	Q6P9F5-2	uc011fvs.1	NM_138700
uc011fvt.2	Q9UDY6-2	uc011fvt.2	NM_052828
uc011fvu.2	Q9UDY6	uc011fvu.2	NM_006778
uc011gcv.2	P55008-3	uc011gcv.2	NM_004847
uc031ssx.1	NP_116573	uc031ssx.1	JQ782415
uc011gcw.2	P55008	uc011gcw.2	NM_001623
uc011gcx.2	NP_116573	uc011gcx.2	NM_032955
uc011ghc.1	B4E1Z1	uc011ghc.1	AK304042
uc011ghd.1	P00751-2	uc011ghd.1	AF349679
uc011gha.2	B4E1Z4	uc011gha.2	AK304045
uc011ghe.2	P00751	uc011ghe.2	NM_001710
uc011giz.2	Q99946	uc011giz.2	AK123424
uc011gja.2	Q99946	uc011gja.2	NM_030651
uc011gjb.2		uc011gjb.2	BC013201
uc011gkm.1	NP_000535	uc011gkm.1	AK222823
uc011gki.1	E7ENX8	uc011gki.1	AK299603
uc011gkk.1	Q9UP03	uc011gkk.1	NM_018833
uc011gkl.2	NP_000535	uc011gkl.2	NM_000544
uc011gkr.2	Q03518	uc011gkr.2	AK302340
uc011gks.2	Q03518	uc011gks.2	NM_000593
uc011gkt.2	B4DZW2	uc011gkt.2	AK303118
uc011gku.2	P28065	uc011gku.2	NM_002800
uc011hla.1	A2BEC5	uc011hla.1	BC060785
uc011hlc.1	Q6P9F5-2	uc011hlc.1	NM_138700
uc011hld.2	Q9UDY6-2	uc011hld.2	NM_052828
uc011hle.2	Q9UDY6	uc011hle.2	NM_006778
uc011hru.2	P55008-3	uc011hru.2	NM_004847
uc031sui.1	NP_116573	uc031sui.1	JQ782415
uc011hrv.2	P55008	uc011hrv.2	NM_001623
uc011hrw.2	NP_116573	uc011hrw.2	NM_032955
uc011hvn.2	B4E1Z4	uc011hvn.2	AK304045
uc011hvp.1	B4E1Z1	uc011hvp.1	AK304042
uc011hvq.1	P00751-2	uc011hvq.1	AF349679
uc011hvr.2	P00751	uc011hvr.2	NM_001710
uc011hxg.2	Q99946	uc011hxg.2	AK123424
uc011hxh.2	Q99946	uc011hxh.2	NM_030651
uc011hxi.2		uc011hxi.2	BC013201
uc011iac.1	E7ENX8	uc011iac.1	AK299603
uc011iae.1	Q9UP03	uc011iae.1	NM_018833
uc011iaf.2	Q03519	uc011iaf.2	AK222823
uc011iag.2	NP_000535	uc011iag.2	NM_000544
uc011iak.2	Q03518	uc011iak.2	AK302340
uc011ial.2	Q03518	uc011ial.2	NM_000593
uc011iam.2	B4DZW2	uc011iam.2	AK303118
uc011ian.2	P28065	uc011ian.2	NM_002800
uc011ihs.1	Q6P9F5	uc011ihs.1	BC060785
uc011ihu.1	Q6P9F5-2	uc011ihu.1	NM_138700
uc011ihv.2	Q9UDY6-2	uc011ihv.2	NM_052828
uc011ihw.2	Q9UDY6	uc011ihw.2	NM_006778
uc011ipe.2	P55008-3	uc011ipe.2	NM_004847
uc031svf.1	NP_116573	uc031svf.1	JQ782415
uc011ipf.2	P55008	uc011ipf.2	NM_001623
uc011ipg.2	NP_116573	uc011ipg.2	NM_032955
uc011itd.2	E7EVA3	uc011itd.2	AK304045
uc011itf.1	B4E1Z1	uc011itf.1	AK304042
uc011itg.1	P00751-2	uc011itg.1	AF349679
uc011ith.2	P00751	uc011ith.2	NM_001710
uc011iul.2	Q99946	uc011iul.2	AK123424
uc011ium.2	Q99946	uc011ium.2	NM_030651
uc011iun.2		uc011iun.2	BC013201
uc011ixo.1	Q9UP03	uc011ixo.1	NM_018833
uc011ixp.2	Q03519	uc011ixp.2	AK222823
uc011ixq.2	NP_000535	uc011ixq.2	NM_000544
uc011ixu.2	Q03518	uc011ixu.2	AK302340
uc011ixv.2	Q03518	uc011ixv.2	NM_000593
uc011ixw.2	B4DZW2	uc011ixw.2	AK303118
uc011ixx.2	P28065	uc011ixx.2	NM_002800
uc011clo.2	O75795	uc011clo.2	NM_001077
uc011grt.1	Q6P9F5	uc011grt.1	BC060785
uc011grv.1	Q6P9F5-2	uc011grv.1	NM_138700
uc011grw.2	Q9UDY6-2	uc011grw.2	NM_052828
uc011grx.2	Q9UDY6	uc011grx.2	NM_006778
uc011hbs.1	B4E1Z4	uc011hbs.1	AK304045
uc011hbw.1	B4E1Z1	uc011hbw.1	AK304042
uc011hbx.1	P00751-2	uc011hbx.1	AF349679
uc011hby.1	P00751	uc011hby.1	NM_001710
uc011hca.1	Q99946	uc011hca.1	AK123424
uc011hcb.1	Q99946	uc011hcb.1	NM_030651
uc011hcc.1		uc011hcc.1	BC013201
uc011hev.1	Q9UP03	uc011hev.1	NM_018833
uc011hew.2	Q03519	uc011hew.2	AK222823
uc011hex.2	NP_000535	uc011hex.2	NM_000544
uc011hfb.2	Q03518	uc011hfb.2	AK302340
uc011hfc.2	Q03518	uc011hfc.2	NM_000593
uc011hfd.2	B4DZW2	uc011hfd.2	AK303118
uc011hfe.2	P28065	uc011hfe.2	NM_002800
uc011jew.1	A2BEC5	uc011jew.1	BC060785
uc011jey.1	Q6P9F5-2	uc011jey.1	NM_138700
uc011jez.2	Q9UDY6-2	uc011jez.2	NM_052828
uc011jfa.2	Q9UDY6	uc011jfa.2	NM_006778
uc011jkr.2	P55008-3	uc011jkr.2	NM_004847
uc031svy.1	NP_116573	uc031svy.1	JQ782415
uc011jks.2	P55008	uc011jks.2	NM_001623
uc011jkt.2	NP_116573	uc011jkt.2	NM_032955
uc011job.2	B4E1Z4	uc011job.2	AK304045
uc011jof.1	B4E1Z1	uc011jof.1	AK304042
uc011jog.1	P00751-2	uc011jog.1	AF349679
uc011joh.2	P00751	uc011joh.2	NM_001710
uc011jpv.2	Q99946	uc011jpv.2	AK123424
uc011jpw.2	Q99946	uc011jpw.2	NM_030651
uc011jpx.2		uc011jpx.2	BC013201
uc011jsw.1	E7ENX8	uc011jsw.1	AK299603
uc011jsy.1	Q9UP03	uc011jsy.1	NM_018833
uc011jsz.2	NP_000535	uc011jsz.2	NM_000544
uc011jta.1	NP_000535	uc011jta.1	AK222823
uc011jte.2	Q03518	uc011jte.2	AK302340
uc011jtf.2	Q03518	uc011jtf.2	NM_000593
uc011jtg.2	B4DZW2	uc011jtg.2	AK303118
uc011jth.2	P28065	uc011jth.2	NM_002800
